event_id,event_name,event_type,base_prob,delta,test_prob,n_games,avg_final_money,avg_revenue,avg_repair_costs,avg_fish_deaths,avg_plant_deaths,avg_peak_ammonia_ppm,event_repair_rate_pct,avg_biofilters_bought,avg_first_harvest_day,success_rate_pct,survival_rate_pct
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,-0.10,0.0000,40,1199.09,1810.49,360,3.4,32.1,1.289,58,0.6,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,-0.08,0.0000,40,1181.61,1815.9,339.38,6.7,25.8,1.325,57,1.1,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,-0.06,0.0000,40,1215.5,1833.37,368.75,3.3,20.9,1.42,60,0.8,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,-0.04,0.0000,40,1235.68,1813.7,316.25,0.8,32.3,1.253,54,0.9,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,-0.02,0.0200,40,1209.18,1795.92,310.63,6.9,28.5,1.384,55,0.7,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.00,0.0400,40,1131.55,1797.83,357.5,5,36.1,1.426,56,0.9,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.02,0.0600,40,1179.49,1752.28,320,2.7,48.6,1.391,57,0.8,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.04,0.0800,40,1204.55,1749.2,295,1.7,52.4,1.37,54,0.7,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.06,0.1000,40,1127.1,1729.3,323.75,2.5,59.5,1.434,59,0.8,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.08,0.1200,40,1218.09,1720.56,281.88,5.1,52.8,1.415,54,0.6,5,0,100
ammoniaSpike,"Sudden Ammonia Spike",technical,0.0400,0.10,0.1400,40,1173.5,1717.21,298.13,3.5,57.5,1.427,56,0.6,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,-0.10,0.0000,40,1138.92,1784.25,366.25,2.3,39,1.411,57,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,-0.08,0.0000,40,1177.12,1823.94,371.88,2.6,28.3,1.402,60,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,-0.06,0.0000,40,1217.29,1829.23,340,1.5,29.6,1.375,57,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,-0.04,0.0000,40,1155.23,1819.09,368.75,1.8,36.5,1.393,61,0.9,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,-0.02,0.0100,40,1148.03,1778.8,358.13,2.9,41.5,1.423,60,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.00,0.0300,40,1167.2,1780.76,335,3.8,37.9,1.366,58,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.02,0.0500,40,1136.19,1730.73,321.88,3.7,51.8,1.384,59,0.9,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.04,0.0700,40,1122.92,1761.41,360,6.4,38.2,1.418,62,0.8,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.06,0.0900,40,1176.43,1739.23,296.88,7.3,46.9,1.346,59,0.7,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.08,0.1100,40,1112.11,1693.09,308.13,14,56.3,1.369,60,0.7,5,0,100
nitriteSpike,"Nitrite Rise",technical,0.0300,0.10,0.1300,40,1158.66,1714.52,283.75,14.8,44.3,1.372,57,0.7,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,-0.10,0.0000,40,1263.47,1821.02,329.38,2.3,18.4,1.408,58,0.6,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,-0.08,0.0000,40,1172.2,1784.38,351.25,2.3,43.8,1.384,57,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,-0.06,0.0000,40,1157.87,1794.95,361.25,2.5,28.8,1.423,59,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,-0.04,0.0000,40,1250.42,1811.13,303.75,1.3,32.9,1.369,53,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,-0.02,0.0100,40,1192.36,1795.61,338.13,4.4,31.6,1.423,58,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.00,0.0300,40,1222.62,1788.38,296.88,5,34.9,1.363,55,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.02,0.0500,40,1243.84,1783.43,283.13,1.7,40.9,1.334,56,0.6,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.04,0.0700,40,1198.34,1765.24,315.63,1.5,53.5,1.354,55,0.6,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.06,0.0900,40,1237.29,1811.19,307.5,3.4,37.6,1.353,57,0.7,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.08,0.1100,40,1216.33,1789.55,288.75,0.9,42.8,1.331,53,0.8,5,0,100
lowDissolvedOxygen,"Low Dissolved Oxygen",technical,0.0300,0.10,0.1300,40,1095.31,1650.47,290.63,2.7,99,1.389,54,0.7,5,0,100
fishDiseaseOutbreak,"Fish Disease Outbreak",technical,0.0150,-0.10,0.0000,40,1277.63,1855.43,340.63,1.1,19.7,1.383,61,0.7,5,0,100
fishDiseaseOutbreak,"Fish Disease Outbreak",technical,0.0150,-0.08,0.0000,40,1147.63,1841.63,383.13,0.4,24.7,1.347,64,1.1,5,0,100
fishDiseaseOutbreak,"Fish Disease Outbreak",technical,0.0150,-0.06,0.0000,40,1160.17,1775.66,343.75,0.4,52.9,1.395,71,0.9,5,0,100
fishDiseaseOutbreak,"Fish Disease Outbreak",technical,0.0150,-0.04,0.0000,40,1259.13,1851.51,328.75,0.1,24.1,1.342,64,0.7,5,0,100
fishDiseaseOutbreak,"Fish Disease Outbreak",technical,0.0150,-0.02,0.0000,40,1275.71,1874.96,333.13,0.8,10.7,1.342,62,0.7,5,0,100
